"F_TAZ","PM_VEH","CGST_TIME","CGST_DIST","FREE_TIME","FREE_DIST","MPH","PMT","PHT","LENGTH","TRIP_DENSITY","RFP_bound","CNTY_NM","RFP_zone","scenario"
226,1127.71,20433.71,10642.72,11466.75,10579.61,28.161893974981,13623.0268,483.739723333333,12.080257158312,0.0827796947444895,1,"NewCa E","Study Area","tp1_c_2050_121520"
222,1448.54,27375.58,14911.88,16024.97,14807.24,28.685027273332,18407.7372,641.719355,12.7077865989203,0.0786919100518232,1,"NewCa W","Study Area","tp1_c_2050_121520"
164,1531.17,40909.46,24098.09,25868.59,23925.09,31.5601841580242,20614.8687,653.192281666667,13.4634747937851,0.0742750304298567,1,"NewCa E","Study Area","tp1_c_2050_121520"
142,1593.28,46559.62,27020.14,29028.64,26783.98,30.3166957149718,22759.2869,750.717925,14.2845494200643,0.0700057083071438,1,"NewCa W","Study Area","tp1_c_2050_121520"
154,1909.98,43943.49,25639.52,27697.19,25567.94,30.6073474203575,27170.2504,887.703531666667,14.2254109467115,0.0702967389656446,1,"NewCa W","Study Area","tp1_c_2050_121520"
318,1963.45,44091.48,26173.32,27162.69,26114.87,30.9058646095471,25745.9646,833.044631666667,13.1126153454379,0.076262436871369,1,"NewCa W","Study Area","tp1_c_2050_121520"
149,2702.61,27864.99,15145.7,15671.21,15111.93,29.2501735630304,31523.9438,1077.73527333333,11.6642592900936,0.0857319762129509,1,"NewCa E","Study Area","tp1_c_2050_121520"
327,2959.92,43071.2,24665.24,27433.86,24591.37,27.247030118188,39304.8049,1442.53537833333,13.2790091961945,0.0753068233649978,1,"NewCa W","Study Area","tp1_c_2050_121520"
152,3351.68,51802.55,30557.19,32933.07,30285.92,30.1738274562783,49148.3781,1628.84135833333,14.6638038535898,0.068195129311907,1,"NewCa W","Study Area","tp1_c_2050_121520"
227,3814.23,25758.58,13785.1,14462.88,13735.04,29.0375098314498,45307.8704,1560.32217166667,11.8786414033763,0.0841847115374463,1,"NewCa E","Study Area","tp1_c_2050_121520"
151,13951.83,62703.45,37823.37,38758.54,37600.82,29.60435824749,186036.2922,6284.084615,13.3341857089715,0.0749952056935265,1,"NewCa W","Study Area","tp1_c_2050_121520"
329,3.74,1189.1,664.26,810.32,646.14,29.7847168347556,29.1783,0.97964,7.80168449197861,0.128177446938307,1,"NewCa E","Study Area","tp2_bau_2050_121520"
225,15.67,5407.36,3389.58,3971.16,3357.49,33.9528690480954,179.5967,5.28958833333333,11.4611805998724,0.0872510463722329,1,"NewCa W","Study Area","tp2_bau_2050_121520"
345,128.66,11561.7,6762.41,7549.77,6679.56,32.2877407095735,1476.1044,45.7171783333333,11.4729084408519,0.0871618565732885,1,"NewCa W","Study Area","tp2_bau_2050_121520"
224,136.83,16429.71,10154.35,11105.5,10016.02,34.8233402960758,2038.0079,58.5241933333333,14.8944522400058,0.0671390920516059,1,"NewCa W","Study Area","tp2_bau_2050_121520"
153,198.04,25514.57,16542.53,18660.16,16451.12,35.0677670648679,4009.9963,114.349918333333,20.2484159765704,0.0493865792344995,1,"NewCa W","Study Area","tp2_bau_2050_121520"
228,285.11,11777.36,6524,7112.19,6464.66,31.4366082701724,3102.5955,98.69371,10.88209989127,0.0918940287253043,1,"NewCa E","Study Area","tp2_bau_2050_121520"
223,465.51,14434.97,7950.89,8743.66,7908.9,30.6226035675496,5916.139,193.195166666667,12.7089407316706,0.0786847638299235,1,"NewCa W","Study Area","tp2_bau_2050_121520"
155,528.34,34029.58,21013.94,23353.58,20804.94,31.9128681003538,7966.5108,249.633181666667,15.0783790740811,0.0663201259954358,1,"NewCa W","Study Area","tp2_bau_2050_121520"
150,625.86,33340.24,20868.4,22502.56,20922.85,34.0804271424176,8775.1058,257.482271666667,14.0208765538619,0.071322216992529,1,"NewCa E","Study Area","tp2_bau_2050_121520"
237,696.78,32725.25,20105.02,22296.68,19899.87,30.5516188313837,9949.7759,325.670988333333,14.2796519704928,0.0700297179557582,1,"NewCa E","Study Area","tp2_bau_2050_121520"
344,761.83,30545.7,18561.72,19960.86,18457.39,33.3077830601787,10625.1199,318.998111666667,13.9468384022682,0.0717008379359559,1,"NewCa W","Study Area","tp2_bau_2050_121520"
229,977.42,19263.42,10873.85,11544.13,10752.5,31.7442779004172,12719.5144,400.68684,13.0133559779829,0.0768441285777388,1,"NewCa W","Study Area","tp2_bau_2050_121520"
226,1036.32,19514.6,10937.32,11697.96,10836.67,30.6956628746736,12784.5853,416.494843333333,12.3365227921877,0.0810601185476075,1,"NewCa E","Study Area","tp2_bau_2050_121520"
238,1117.95,27320.8,16216.37,17580.84,16205.68,31.106963214507,13427.0517,431.641353333333,12.0104223802496,0.0832610185004352,1,"NewCa E","Study Area","tp2_bau_2050_121520"
158,1149.19,40296.87,24941.69,27755.98,24554.29,31.7375919481044,21545.6425,678.868218333333,18.7485468025305,0.0533374671931923,1,"NewCa W","Study Area","tp2_bau_2050_121520"
222,1446.4,27179.75,15998.03,17008.17,15837.04,31.0000763502997,18835.4669,607.59421,13.0223084209071,0.0767913005649995,1,"NewCa W","Study Area","tp2_bau_2050_121520"
318,1520.74,25384.15,15090.9,15585.17,14991.64,32.6185496057793,18411.6951,564.454745,12.1070630745558,0.0825964144930903,1,"NewCa W","Study Area","tp2_bau_2050_121520"
