"F_TAZ","T_TAZ","PM_VEH","CGST_TIME","CGST_DIST","FREE_TIME","FREE_DIST","MPH","PMT","PHT"
5,327,4.72,14.71,12.26,14.72,12.26,50.006798096533,57.8672,1.15718666666667
5,344,2.25,12.35,10.33,12.36,10.33,50.1862348178138,23.2425,0.463125
5,345,0.43,11.97,9.57,11.99,9.57,47.9699248120301,4.1151,0.085785
6,142,0.03,12.56,8.05,12.56,8.05,38.4554140127389,0.2415,0.00628
6,149,0.16,8.42,7.13,8.42,7.13,50.8076009501188,1.1408,0.0224533333333333
6,151,0.21,9.95,8.02,9.95,8.02,48.3618090452261,1.6842,0.034825
6,152,0.06,11.74,9.7,11.74,9.7,49.5741056218058,0.582,0.01174
6,154,0.3,10.84,9.43,10.84,9.43,52.1955719557196,2.829,0.0542
6,155,0.01,12.49,10.54,12.49,10.54,50.6325060048038,0.1054,0.00208166666666667
6,158,0.01,13.97,11.67,13.97,11.67,50.1216893342878,0.1167,0.00232833333333333
6,164,0.16,10.85,8.05,11.07,7.98,44.5161290322581,1.288,0.0289333333333333
6,222,0.06,10.31,8.42,10.31,8.42,49.0009699321048,0.5052,0.01031
6,223,0.01,10.87,9.41,10.87,9.41,51.9411223551058,0.0941,0.00181166666666667
6,226,0.03,10.67,8.47,10.67,8.47,47.6288659793814,0.2541,0.005335
6,227,0.03,10.28,8.44,10.28,8.44,49.2607003891051,0.2532,0.00514
6,229,0.02,10.75,9.47,10.75,9.47,52.8558139534884,0.1894,0.00358333333333333
6,238,0.05,10.57,8.63,10.57,8.63,48.9877010406812,0.4315,0.00880833333333333
6,318,0.1,8.54,7.43,8.54,7.43,52.2014051522248,0.743,0.0142333333333333
6,327,0.13,13.57,11.59,13.57,11.59,51.2453942520265,1.5067,0.0294016666666667
6,344,0.08,11.21,9.66,11.21,9.66,51.7038358608385,0.7728,0.0149466666666667
7,142,0.09,12.9,8.19,12.9,8.19,38.093023255814,0.7371,0.01935
7,149,0.37,8.76,7.27,8.76,7.27,49.7945205479452,2.6899,0.05402
7,150,0.01,9.56,7.74,9.56,7.74,48.5774058577406,0.0774,0.00159333333333333
7,151,0.52,10.28,8.16,10.28,8.16,47.6264591439689,4.2432,0.0890933333333333
7,152,0.16,12.07,9.84,12.07,9.84,48.9146644573322,1.5744,0.0321866666666667
7,154,0.49,11.18,9.57,11.18,9.57,51.3595706618962,4.6893,0.0913033333333333
7,155,0.03,12.82,10.68,12.82,10.68,49.984399375975,0.3204,0.00641
7,158,0.03,14.3,11.8,14.3,11.8,49.5104895104895,0.354,0.00715
7,164,0.25,10.2,7.77,11.17,7.78,45.7058823529412,1.9425,0.0425
7,222,0.15,10.64,8.56,10.64,8.56,48.2706766917293,1.284,0.0266
7,223,0.02,11.21,9.55,11.21,9.55,51.1150758251561,0.191,0.00373666666666667
7,224,0.01,10.82,8.55,10.82,8.55,47.4121996303142,0.0855,0.00180333333333333
7,226,0.07,11,8.61,11,8.61,46.9636363636364,0.6027,0.0128333333333333
7,227,0.08,10.62,8.58,10.62,8.58,48.4745762711864,0.6864,0.01416
7,228,0.02,8.6,7.21,8.6,7.21,50.3023255813953,0.1442,0.00286666666666667
